"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.0567479044630957,0.624226949094053,"137","29",FALSE
"2","smallest","100","full","cohort",0.253543747762152,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.869750201510206,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.82392809664811,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.638857040545196,1,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.862275857672886,1,"36","36",FALSE
"7","smallest","25","full","downsampled",0.643376602960496,1,"137","40",FALSE
"8","smallest","25","full","cohort",0.458454549444076,1,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.564687004162853,1,"43","40",FALSE
"10","smallest","10","full","downsampled",0.126673757069726,1,"137","49",FALSE
"11","smallest","10","full","cohort",0.0377049430324528,0.452459316389434,"137","42",FALSE
"12","smallest","10","cohort","downsampled",0.00120551068745086,0.0156716389368612,"42","49",TRUE
"13","smallest","5","full","downsampled",0.46379096782129,1,"137","50",FALSE
"14","smallest","5","full","cohort",2.31300683356094e-10,3.46951025034141e-09,"137","46",TRUE
"15","smallest","5","cohort","downsampled",3.06889878143834e-07,4.29645829401368e-06,"46","50",TRUE
"16","median","100","full","downsampled",0.229709159959459,1,"176","28",FALSE
"17","median","100","full","cohort",0.704288814919944,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.21591690587096,1,"33","28",FALSE
"19","median","50","full","downsampled",0.605084011818887,1,"176","38",FALSE
"20","median","50","full","cohort",0.079539842950003,0.715858586550027,"176","36",FALSE
"21","median","50","cohort","downsampled",0.0505369740079008,0.505369740079008,"36","38",FALSE
"22","median","25","full","downsampled",0.358153972308762,1,"176","42",FALSE
"23","median","25","full","cohort",0.0437168342184577,0.480885176403035,"176","47",FALSE
"24","median","25","cohort","downsampled",0.323686135362383,1,"47","42",FALSE
"25","median","10","full","downsampled",0.164620601819871,1,"176","50",FALSE
"26","median","10","full","cohort",5.49003714778118e-06,6.58804457733742e-05,"176","43",TRUE
"27","median","10","cohort","downsampled",4.62742590971497e-06,6.01565368262946e-05,"43","50",TRUE
"28","median","5","full","downsampled",6.87359874894327e-07,9.62303824852058e-06,"176","48",TRUE
"29","median","5","full","cohort",3.11036404181947e-11,4.6655460627292e-10,"176","46",TRUE
"30","median","5","cohort","downsampled",0.105529269290145,0.84423415432116,"46","48",FALSE
"31","grade","100","full","downsampled",0.581556147867355,1,"54","11",FALSE
"32","grade","100","full","cohort",0.966846812113182,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.739898141971099,1,"12","11",FALSE
"34","grade","50","full","downsampled",0.930882609809208,1,"54","31",FALSE
"35","grade","50","full","cohort",0.000602018066598112,0.00602018066598112,"54","30",TRUE
"36","grade","50","cohort","downsampled",0.000181358970596792,0.00199494867656471,"30","31",TRUE
"37","grade","25","full","downsampled",0.810892324517332,1,"54","44",FALSE
"38","grade","25","full","cohort",0.0167204079738282,0.150483671764454,"54","43",FALSE
"39","grade","25","cohort","downsampled",0.0307246688285896,0.245797350628717,"43","44",FALSE
"40","grade","10","full","downsampled",0.893333708683064,1,"54","48",FALSE
"41","grade","10","full","cohort",1.67561548865443e-05,0.000205899105797472,"54","45",TRUE
"42","grade","10","cohort","downsampled",1.58383927536517e-05,0.000205899105797472,"45","48",TRUE
"43","grade","5","full","downsampled",0.231258519913128,1,"54","50",FALSE
"44","grade","5","full","cohort",8.66680845706684e-13,1.30002126856003e-11,"54","48",TRUE
"45","grade","5","cohort","downsampled",1.05332219957073e-09,1.47465107939902e-08,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.263995585282756,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.312617341567926,1,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.123956873554732,0.743741241328392,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.449557505235264,1,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.824495669180604,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.40268680329222,1,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.00512946425399207,0.0461651782859286,"125","37",TRUE
"53","for-loop-index","25","full","cohort",0.000230749551082548,0.00253824506190803,"125","28",TRUE
"54","for-loop-index","25","cohort","downsampled",3.77355787932764e-06,4.52826945519317e-05,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",0.0828310839150316,0.579817587405221,"125","33",FALSE
"56","for-loop-index","10","full","cohort",1.38214294636858e-06,1.79678583027915e-05,"125","38",TRUE
"57","for-loop-index","10","cohort","downsampled",1.21258199033225e-06,1.69761478646515e-05,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",0.065476814211211,0.523814513689688,"125","45",FALSE
"59","for-loop-index","5","full","cohort",3.31146180968633e-08,4.96719271452949e-07,"125","34",TRUE
"60","for-loop-index","5","cohort","downsampled",0.000817740392793878,0.00817740392793878,"34","45",TRUE
