"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.0551104265408315,0.551104265408315,"137","29",FALSE
"2","smallest","100","full","cohort",0.234698877547316,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.948128239842445,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.509248719956448,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.455658556138067,1,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.844715487085281,1,"36","36",FALSE
"7","smallest","25","full","downsampled",0.58306414301088,1,"137","40",FALSE
"8","smallest","25","full","cohort",0.958530086100966,1,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.470756984762213,1,"43","40",FALSE
"10","smallest","10","full","downsampled",0.000785951140203378,0.00943141368244054,"137","49",TRUE
"11","smallest","10","full","cohort",0.109264484620964,0.983380361588676,"137","42",FALSE
"12","smallest","10","cohort","downsampled",4.64412987385726e-06,6.03736883601444e-05,"42","49",TRUE
"13","smallest","5","full","downsampled",0.00284606707522424,0.0313067378274666,"137","50",TRUE
"14","smallest","5","full","cohort",1.11850058172558e-07,1.56590081441581e-06,"137","46",TRUE
"15","smallest","5","cohort","downsampled",2.02805291488867e-09,3.042079372333e-08,"46","50",TRUE
"16","median","100","full","downsampled",0.362887672122888,1,"176","28",FALSE
"17","median","100","full","cohort",0.677697115872209,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.251910528456847,1,"33","28",FALSE
"19","median","50","full","downsampled",0.566350577748944,1,"176","38",FALSE
"20","median","50","full","cohort",0.107023416626063,0.749163916382441,"176","36",FALSE
"21","median","50","cohort","downsampled",0.0716130800392163,0.57290464031373,"36","38",FALSE
"22","median","25","full","downsampled",0.907881166708458,1,"176","42",FALSE
"23","median","25","full","cohort",0.0568039218595966,0.511235296736369,"176","47",FALSE
"24","median","25","cohort","downsampled",0.163604050195345,0.98162430117207,"47","42",FALSE
"25","median","10","full","downsampled",0.00154861463516528,0.0170347609868181,"176","50",TRUE
"26","median","10","full","cohort",0.000113761755909768,0.00136514107091722,"176","43",TRUE
"27","median","10","cohort","downsampled",2.69666788118224e-07,3.50566824553691e-06,"43","50",TRUE
"28","median","5","full","downsampled",0.0147494605149117,0.147494605149117,"176","48",FALSE
"29","median","5","full","cohort",1.68591248536855e-07,2.36027747951597e-06,"176","46",TRUE
"30","median","5","cohort","downsampled",5.88470420232975e-09,8.82705630349462e-08,"46","48",TRUE
"31","grade","100","full","downsampled",0.523093339768217,1,"54","11",FALSE
"32","grade","100","full","cohort",1,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.413411060604492,1,"12","11",FALSE
"34","grade","50","full","downsampled",0.631713018936781,1,"54","31",FALSE
"35","grade","50","full","cohort",0.00707686643084982,0.0566149314467986,"54","30",FALSE
"36","grade","50","cohort","downsampled",0.000228877207016618,0.00274652648419942,"30","31",TRUE
"37","grade","25","full","downsampled",0.319066645846423,1,"54","44",FALSE
"38","grade","25","full","cohort",0.135618567668092,0.813711406008552,"54","43",FALSE
"39","grade","25","cohort","downsampled",0.00925878643156436,0.0648115050209505,"43","44",FALSE
"40","grade","10","full","downsampled",0.00335554174139493,0.0341738174876715,"54","48",TRUE
"41","grade","10","full","cohort",0.00544777481432299,0.0490299733289069,"54","45",TRUE
"42","grade","10","cohort","downsampled",3.4967774112706e-09,4.89548837577884e-08,"45","48",TRUE
"43","grade","5","full","downsampled",0.00310671068069741,0.0341738174876715,"54","50",TRUE
"44","grade","5","full","cohort",4.86429740537471e-07,6.32358662698712e-06,"54","48",TRUE
"45","grade","5","cohort","downsampled",5.90617093839806e-13,8.85925640759709e-12,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.555180641067114,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.0788138888418652,0.472883333051191,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.119610199342495,0.57614298126654,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.123655945869906,0.57614298126654,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.757278733219471,1,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.115228596253308,0.57614298126654,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.000628105077219976,0.00628105077219976,"125","37",TRUE
"53","for-loop-index","25","full","cohort",0.00888723463755689,0.0710978771004551,"125","28",FALSE
"54","for-loop-index","25","cohort","downsampled",6.58283863443499e-06,8.55769022476549e-05,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",6.82626381233724e-05,0.000750889019357096,"125","33",TRUE
"56","for-loop-index","10","full","cohort",0.00098455762524569,0.00886101862721121,"125","38",TRUE
"57","for-loop-index","10","cohort","downsampled",2.51770141132593e-08,3.77655211698889e-07,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",0.015243432113001,0.106704024791007,"125","45",FALSE
"59","for-loop-index","5","full","cohort",3.16951082824153e-05,0.000380341299388984,"125","34",TRUE
"60","for-loop-index","5","cohort","downsampled",1.62702904253255e-06,2.27784065954557e-05,"34","45",TRUE
