"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.288761515451556,1,"137","29",FALSE
"2","smallest","100","full","cohort",0.277579982221541,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.869190723097172,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.196265453585405,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.181948566201367,1,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.0411917015775306,0.370725314197775,"36","36",FALSE
"7","smallest","25","full","downsampled",0.148763446945368,1,"137","40",FALSE
"8","smallest","25","full","cohort",0.579531803810318,1,"137","43",FALSE
"9","smallest","25","cohort","downsampled",0.0680623657002499,0.544498925601999,"43","40",FALSE
"10","smallest","10","full","downsampled",3.22235806770412e-05,0.000386682968124494,"137","49",TRUE
"11","smallest","10","full","cohort",0.00220666260247986,0.0220666260247986,"137","42",TRUE
"12","smallest","10","cohort","downsampled",1.15749528379737e-09,1.62049339731632e-08,"42","49",TRUE
"13","smallest","5","full","downsampled",0.00184968872069293,0.0203465759276222,"137","50",TRUE
"14","smallest","5","full","cohort",6.27012617379295e-06,8.15116402593084e-05,"137","46",TRUE
"15","smallest","5","cohort","downsampled",2.03686277286507e-10,3.0552941592976e-09,"46","50",TRUE
"16","median","100","full","downsampled",0.191276988982217,0.765107955928868,"176","28",FALSE
"17","median","100","full","cohort",0.422186705324555,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.0720510166283014,0.40673394759541,"33","28",FALSE
"19","median","50","full","downsampled",0.952593495146921,1,"176","38",FALSE
"20","median","50","full","cohort",0.0031763646657589,0.0285872819918301,"176","36",TRUE
"21","median","50","cohort","downsampled",0.021277765264756,0.148944356853292,"36","38",FALSE
"22","median","25","full","downsampled",0.667023100430868,1,"176","42",FALSE
"23","median","25","full","cohort",0.000829041748970388,0.00911945923867427,"176","47",TRUE
"24","median","25","cohort","downsampled",0.000901294788422887,0.00911945923867427,"47","42",TRUE
"25","median","10","full","downsampled",0.00812389993610137,0.064991199488811,"176","50",FALSE
"26","median","10","full","cohort",0.000140209798673699,0.00168251758408439,"176","43",TRUE
"27","median","10","cohort","downsampled",4.45454692158848e-08,6.23636569022387e-07,"43","50",TRUE
"28","median","5","full","downsampled",0.0677889912659016,0.40673394759541,"176","48",FALSE
"29","median","5","full","cohort",2.40735467365718e-07,3.12956107575433e-06,"176","46",TRUE
"30","median","5","cohort","downsampled",2.47604571895904e-11,3.71406857843856e-10,"46","48",TRUE
"31","grade","100","full","downsampled",0.494487090430034,1,"54","11",FALSE
"32","grade","100","full","cohort",0.920419445719563,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.441137475466601,1,"12","11",FALSE
"34","grade","50","full","downsampled",0.602334772609097,1,"54","31",FALSE
"35","grade","50","full","cohort",0.0981655107275298,0.981655107275298,"54","30",FALSE
"36","grade","50","cohort","downsampled",0.024756477975269,0.272321257727959,"30","31",FALSE
"37","grade","25","full","downsampled",0.335633605840185,1,"54","44",FALSE
"38","grade","25","full","cohort",0.933395309649915,1,"54","43",FALSE
"39","grade","25","cohort","downsampled",0.166020690141246,1,"43","44",FALSE
"40","grade","10","full","downsampled",0.013163419175863,0.157961030110356,"54","48",FALSE
"41","grade","10","full","cohort",0.670429378122517,1,"54","45",FALSE
"42","grade","10","cohort","downsampled",0.00350429030261552,0.0455557739340018,"45","48",TRUE
"43","grade","5","full","downsampled",0.00155188290033393,0.021726360604675,"54","50",TRUE
"44","grade","5","full","cohort",0.521717131134345,1,"54","48",FALSE
"45","grade","5","cohort","downsampled",3.55218928208998e-07,5.32828392313497e-06,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.480447100876666,0.83894666934299,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.0641049513542347,0.346386621149306,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.0577311035248844,0.346386621149306,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.197961436397179,0.791845745588716,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.419473334671495,0.83894666934299,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.235510205565671,0.791845745588716,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.00282833764383187,0.0254550387944868,"125","37",TRUE
"53","for-loop-index","25","full","cohort",0.00344633229964117,0.0275706583971294,"125","28",TRUE
"54","for-loop-index","25","cohort","downsampled",3.26625647979756e-05,0.000424613342373683,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",4.60193569342718e-05,0.000552232283211262,"125","33",TRUE
"56","for-loop-index","10","full","cohort",0.0136562184165872,0.0955935289161104,"125","38",FALSE
"57","for-loop-index","10","cohort","downsampled",4.74200624973834e-07,6.63880874963368e-06,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",0.000164914412476798,0.00181405853724478,"125","45",TRUE
"59","for-loop-index","5","full","cohort",0.000303871391218586,0.00303871391218586,"125","34",TRUE
"60","for-loop-index","5","cohort","downsampled",1.19139589381975e-08,1.78709384072962e-07,"34","45",TRUE
