"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.700316008621925,1,"137","29",FALSE
"2","smallest","100","full","cohort",0.570312844021915,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.380233883556903,1,"27","29",FALSE
"4","smallest","50","full","downsampled",1.22294554099567e-05,0.000122294554099567,"137","36",TRUE
"5","smallest","50","full","cohort",0.0179255300117441,0.143404240093953,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.289725805197996,1,"36","36",FALSE
"7","smallest","25","full","downsampled",4.6434754146075e-11,5.572170497529e-10,"137","40",TRUE
"8","smallest","25","full","cohort",4.99199645281896e-05,0.000449279680753706,"137","43",TRUE
"9","smallest","25","cohort","downsampled",0.039427073965688,0.236562443794128,"43","40",FALSE
"10","smallest","10","full","downsampled",1.65737679354971e-16,2.32032751096959e-15,"137","49",TRUE
"11","smallest","10","full","cohort",2.00036528582359e-09,2.20040181440595e-08,"137","42",TRUE
"12","smallest","10","cohort","downsampled",0.0300493691613653,0.210345584129557,"42","49",FALSE
"13","smallest","5","full","downsampled",7.1661243610192e-22,1.07491865415288e-20,"137","50",TRUE
"14","smallest","5","full","cohort",2.27888036754969e-15,2.9625444778146e-14,"137","46",TRUE
"15","smallest","5","cohort","downsampled",0.229061508346699,1,"46","50",FALSE
"16","median","100","full","downsampled",0.617238817468171,1,"176","28",FALSE
"17","median","100","full","cohort",0.508056231271153,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.930791118021365,1,"33","28",FALSE
"19","median","50","full","downsampled",0.0117147904509522,0.0820035331566654,"176","38",FALSE
"20","median","50","full","cohort",0.0421243961151297,0.252746376690778,"176","36",FALSE
"21","median","50","cohort","downsampled",1,1,"36","38",FALSE
"22","median","25","full","downsampled",5.774174936864e-13,6.9290099242368e-12,"176","42",TRUE
"23","median","25","full","cohort",0.000232075265720703,0.00208867739148633,"176","47",TRUE
"24","median","25","cohort","downsampled",0.00784232782630256,0.0627386226104205,"47","42",FALSE
"25","median","10","full","downsampled",1.93185926555494e-22,2.70460297177692e-21,"176","50",TRUE
"26","median","10","full","cohort",1.23694288932758e-12,1.36063717826034e-11,"176","43",TRUE
"27","median","10","cohort","downsampled",0.115958986245245,0.579794931226225,"43","50",FALSE
"28","median","5","full","downsampled",2.06243217515058e-25,3.09364826272587e-24,"176","48",TRUE
"29","median","5","full","cohort",1.031526287117e-18,1.3409841732521e-17,"176","46",TRUE
"30","median","5","cohort","downsampled",1.03361865810266e-06,1.03361865810266e-05,"46","48",TRUE
"31","grade","100","full","downsampled",0.90252289926146,1,"54","11",FALSE
"32","grade","100","full","cohort",0.0674230606813864,0.269692242725546,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.206948937563287,0.620846812689861,"12","11",FALSE
"34","grade","50","full","downsampled",0.000470691837886031,0.00470691837886031,"54","31",TRUE
"35","grade","50","full","cohort",0.00317683783432057,0.0190610270059234,"54","30",TRUE
"36","grade","50","cohort","downsampled",0.502301048582353,1,"30","31",FALSE
"37","grade","25","full","downsampled",5.52584851896192e-10,6.07843337085811e-09,"54","44",TRUE
"38","grade","25","full","cohort",0.000483994489778943,0.00470691837886031,"54","43",TRUE
"39","grade","25","cohort","downsampled",0.000750429168721867,0.00600343334977494,"43","44",TRUE
"40","grade","10","full","downsampled",1.44472920546758e-15,2.02262088765461e-14,"54","48",TRUE
"41","grade","10","full","cohort",3.86186021216653e-11,4.63423225459984e-10,"54","45",TRUE
"42","grade","10","cohort","downsampled",0.00215893147215159,0.0151125203050611,"45","48",TRUE
"43","grade","5","full","downsampled",9.63439190252351e-18,1.44515878537853e-16,"54","50",TRUE
"44","grade","5","full","cohort",9.67464681009649e-14,1.25770408531254e-12,"54","48",TRUE
"45","grade","5","cohort","downsampled",0.0443036762250978,0.221518381125489,"48","50",FALSE
"46","for-loop-index","100","full","downsampled",0.12523549892039,0.840356234704924,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.842897128055665,1,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.193191348665125,0.848501834514005,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.00389925354183432,0.0350932818765089,"125","34",TRUE
"50","for-loop-index","50","full","cohort",0.169700366902801,0.848501834514005,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.395995882829886,1,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",1.05528944856617e-08,1.2663473382794e-07,"125","37",TRUE
"53","for-loop-index","25","full","cohort",0.000350966551117507,0.00350966551117507,"125","28",TRUE
"54","for-loop-index","25","cohort","downsampled",0.0899323784840214,0.719459027872171,"28","37",FALSE
"55","for-loop-index","10","full","downsampled",8.805754142793e-13,1.23280557999102e-11,"125","33",TRUE
"56","for-loop-index","10","full","cohort",1.71173860305891e-07,1.8829124633648e-06,"125","38",TRUE
"57","for-loop-index","10","cohort","downsampled",0.429687097585732,1,"38","33",FALSE
"58","for-loop-index","5","full","downsampled",7.542460393682e-18,1.1313690590523e-16,"125","45",TRUE
"59","for-loop-index","5","full","cohort",1.05011380415247e-11,1.36514794539821e-10,"125","34",TRUE
"60","for-loop-index","5","cohort","downsampled",0.120050890672132,0.840356234704924,"34","45",FALSE
