"","problem","num_tests","treatment_a","treatment_b","p_value","p_value_adj","a_solutions","b_solutions","significant_at_0_05"
"1","smallest","100","full","downsampled",0.0976969469552401,0.976969469552401,"137","29",FALSE
"2","smallest","100","full","cohort",0.375381261135683,1,"137","27",FALSE
"3","smallest","100","cohort","downsampled",0.766655046031526,1,"27","29",FALSE
"4","smallest","50","full","downsampled",0.783013353159443,1,"137","36",FALSE
"5","smallest","50","full","cohort",0.119522329719139,0.976969469552401,"137","36",FALSE
"6","smallest","50","cohort","downsampled",0.426060023713192,1,"36","36",FALSE
"7","smallest","25","full","downsampled",0.232862089952939,1,"137","40",FALSE
"8","smallest","25","full","cohort",0.000536545880566232,0.00590200468622855,"137","43",TRUE
"9","smallest","25","cohort","downsampled",0.210877352770757,1,"43","40",FALSE
"10","smallest","10","full","downsampled",0.106789635254247,0.976969469552401,"137","49",FALSE
"11","smallest","10","full","cohort",1.72276087859798e-08,2.23958914217737e-07,"137","42",TRUE
"12","smallest","10","cohort","downsampled",7.7365630306762e-07,9.28387563681144e-06,"42","49",TRUE
"13","smallest","5","full","downsampled",0.84361506760588,1,"137","50",FALSE
"14","smallest","5","full","cohort",6.39648116879454e-16,9.59472175319181e-15,"137","46",TRUE
"15","smallest","5","cohort","downsampled",2.8377771758482e-09,3.97288804618748e-08,"46","50",TRUE
"16","median","100","full","downsampled",0.367986177143584,1,"176","28",FALSE
"17","median","100","full","cohort",0.898625937377414,1,"176","33",FALSE
"18","median","100","cohort","downsampled",0.450112849850175,1,"33","28",FALSE
"19","median","50","full","downsampled",0.869960810131213,1,"176","38",FALSE
"20","median","50","full","cohort",0.0169947070346657,0.169947070346657,"176","36",FALSE
"21","median","50","cohort","downsampled",0.0807851250417096,0.646281000333677,"36","38",FALSE
"22","median","25","full","downsampled",0.163162473420839,1,"176","42",FALSE
"23","median","25","full","cohort",2.553207150716e-06,2.8085278657876e-05,"176","47",TRUE
"24","median","25","cohort","downsampled",0.035687733465482,0.321189601189338,"47","42",FALSE
"25","median","10","full","downsampled",0.184748838509719,1,"176","50",FALSE
"26","median","10","full","cohort",7.6021906645129e-10,1.06430669303181e-08,"176","43",TRUE
"27","median","10","cohort","downsampled",1.90647864220812e-07,2.28777437064974e-06,"43","50",TRUE
"28","median","5","full","downsampled",0.556453334509662,1,"176","48",FALSE
"29","median","5","full","cohort",7.90793674524808e-15,1.18619051178721e-13,"176","46",TRUE
"30","median","5","cohort","downsampled",9.38754229084636e-09,1.22038049781003e-07,"46","48",TRUE
"31","grade","100","full","downsampled",0.486833510701697,1,"54","11",FALSE
"32","grade","100","full","cohort",0.645048230500373,1,"54","12",FALSE
"33","grade","100","cohort","downsampled",0.618176504754481,1,"12","11",FALSE
"34","grade","50","full","downsampled",0.0510192445475209,0.357134711832646,"54","31",FALSE
"35","grade","50","full","cohort",1.19588733984389e-07,1.43506480781267e-06,"54","30",TRUE
"36","grade","50","cohort","downsampled",4.99190239339543e-05,0.000449271215405589,"30","31",TRUE
"37","grade","25","full","downsampled",0.30991071243936,1,"54","44",FALSE
"38","grade","25","full","cohort",3.25777655852266e-07,3.58355421437493e-06,"54","43",TRUE
"39","grade","25","cohort","downsampled",0.000121890835629001,0.000975126685032008,"43","44",TRUE
"40","grade","10","full","downsampled",0.09533385814226,0.57200314885356,"54","48",FALSE
"41","grade","10","full","cohort",8.89777605069026e-10,1.15671088658973e-08,"54","45",TRUE
"42","grade","10","cohort","downsampled",8.32254908992382e-07,8.32254908992382e-06,"45","48",TRUE
"43","grade","5","full","downsampled",0.192202775280242,0.96101387640121,"54","50",FALSE
"44","grade","5","full","cohort",2.95553615430538e-14,4.43330423145807e-13,"54","48",TRUE
"45","grade","5","cohort","downsampled",6.06823801788541e-11,8.49553322503957e-10,"48","50",TRUE
"46","for-loop-index","100","full","downsampled",0.40841045492563,1,"125","25",FALSE
"47","for-loop-index","100","full","cohort",0.351461929053387,1,"125","28",FALSE
"48","for-loop-index","100","cohort","downsampled",0.21646315394089,1,"28","25",FALSE
"49","for-loop-index","50","full","downsampled",0.0677579177230381,0.542063341784305,"125","34",FALSE
"50","for-loop-index","50","full","cohort",0.0586647339322796,0.527982605390516,"125","28",FALSE
"51","for-loop-index","50","cohort","downsampled",0.732830613798174,1,"28","34",FALSE
"52","for-loop-index","25","full","downsampled",0.262856033635444,1,"125","37",FALSE
"53","for-loop-index","25","full","cohort",2.52386760157878e-08,3.28102788205241e-07,"125","28",TRUE
"54","for-loop-index","25","cohort","downsampled",6.54219766367139e-07,6.54219766367139e-06,"28","37",TRUE
"55","for-loop-index","10","full","downsampled",0.160221351116818,1,"125","33",FALSE
"56","for-loop-index","10","full","cohort",2.4559147966631e-11,3.43828071532834e-10,"125","38",TRUE
"57","for-loop-index","10","cohort","downsampled",9.9488219838812e-08,1.09437041822693e-06,"38","33",TRUE
"58","for-loop-index","5","full","downsampled",0.613280614038187,1,"125","45",FALSE
"59","for-loop-index","5","full","cohort",1.32658529478273e-13,1.9898779421741e-12,"125","34",TRUE
"60","for-loop-index","5","cohort","downsampled",4.13380771326663e-08,4.96056925591996e-07,"34","45",TRUE
