treatment,num_tests,dilution,solution_found,max_gen,slurm_job_id,slurm_task_id,directory
cohort,10,0_50000,False,3000,18721574,2,cohort/10/0_50000/17002
cohort,10,0_50000,False,2478,18721574,3,cohort/10/0_50000/17003
cohort,10,0_50000,False,3000,18721574,4,cohort/10/0_50000/17004
cohort,10,0_50000,False,3000,18721574,5,cohort/10/0_50000/17005
cohort,10,0_50000,False,3000,18721574,6,cohort/10/0_50000/17006
cohort,10,0_50000,False,3000,18721574,7,cohort/10/0_50000/17007
cohort,10,0_50000,False,3000,18721574,8,cohort/10/0_50000/17008
cohort,10,0_50000,False,3000,18721574,9,cohort/10/0_50000/17009
cohort,10,0_50000,False,3000,18721574,10,cohort/10/0_50000/17010
cohort,10,0_50000,False,3000,18721574,11,cohort/10/0_50000/17011
cohort,10,0_50000,False,3000,18721574,12,cohort/10/0_50000/17012
cohort,10,0_50000,False,3000,18721574,13,cohort/10/0_50000/17013
cohort,10,0_50000,False,3000,18721574,14,cohort/10/0_50000/17014
cohort,10,0_50000,False,3000,18721574,15,cohort/10/0_50000/17015
cohort,10,0_50000,False,3000,18721574,16,cohort/10/0_50000/17016
cohort,10,0_50000,False,3000,18721574,17,cohort/10/0_50000/17017
cohort,10,0_50000,False,3000,18721574,18,cohort/10/0_50000/17018
cohort,10,0_50000,False,3000,18721574,19,cohort/10/0_50000/17019
cohort,10,0_50000,False,3000,18721574,20,cohort/10/0_50000/17020
cohort,10,0_50000,False,2391,18721574,21,cohort/10/0_50000/17021
cohort,10,0_50000,False,3000,18721574,22,cohort/10/0_50000/17022
cohort,10,0_50000,False,3000,18721574,23,cohort/10/0_50000/17023
cohort,10,0_50000,False,3000,18721574,24,cohort/10/0_50000/17024
cohort,10,0_50000,False,3000,18721574,25,cohort/10/0_50000/17025
cohort,10,0_50000,False,3000,18721574,26,cohort/10/0_50000/17026
cohort,10,0_50000,False,3000,18721574,27,cohort/10/0_50000/17027
cohort,10,0_50000,False,3000,18721574,28,cohort/10/0_50000/17028
cohort,10,0_50000,False,3000,18721574,29,cohort/10/0_50000/17029
cohort,10,0_50000,False,3000,18721574,30,cohort/10/0_50000/17030
cohort,10,0_50000,False,3000,18721574,31,cohort/10/0_50000/17031
cohort,10,0_50000,False,3000,18721574,32,cohort/10/0_50000/17032
cohort,10,0_50000,False,3000,18721574,33,cohort/10/0_50000/17033
cohort,10,0_50000,False,3000,18721574,34,cohort/10/0_50000/17034
cohort,10,0_50000,False,3000,18721574,35,cohort/10/0_50000/17035
cohort,10,0_50000,False,3000,18721574,36,cohort/10/0_50000/17036
cohort,10,0_50000,False,3000,18721574,37,cohort/10/0_50000/17037
cohort,10,0_50000,False,3000,18721574,38,cohort/10/0_50000/17038
cohort,10,0_50000,False,3000,18721574,39,cohort/10/0_50000/17039
cohort,10,0_50000,False,3000,18721574,40,cohort/10/0_50000/17040
cohort,10,0_50000,False,3000,18721574,41,cohort/10/0_50000/17041
cohort,10,0_50000,False,3000,18721574,42,cohort/10/0_50000/17042
cohort,10,0_50000,False,3000,18721574,43,cohort/10/0_50000/17043
cohort,10,0_50000,False,3000,18721574,44,cohort/10/0_50000/17044
cohort,10,0_50000,False,3000,18721574,45,cohort/10/0_50000/17045
cohort,10,0_50000,False,3000,18721574,46,cohort/10/0_50000/17046
cohort,10,0_50000,False,3000,18721574,47,cohort/10/0_50000/17047
cohort,10,0_50000,False,3000,18721574,48,cohort/10/0_50000/17048
cohort,10,0_50000,True,2902,18721574,49,cohort/10/0_50000/17049
cohort,10,0_50000,False,3000,18721574,50,cohort/10/0_50000/17050
cohort,10,0_90000,False,3000,18721575,1,cohort/10/0_90000/17001
cohort,10,0_90000,False,3000,18721575,2,cohort/10/0_90000/17002
cohort,10,0_90000,False,3000,18721575,3,cohort/10/0_90000/17003
cohort,10,0_90000,False,3000,18721575,4,cohort/10/0_90000/17004
cohort,10,0_90000,False,3000,18721575,5,cohort/10/0_90000/17005
cohort,10,0_90000,False,3000,18721575,6,cohort/10/0_90000/17006
cohort,10,0_90000,False,3000,18721575,7,cohort/10/0_90000/17007
cohort,10,0_90000,False,3000,18721575,8,cohort/10/0_90000/17008
cohort,10,0_90000,False,3000,18721575,9,cohort/10/0_90000/17009
cohort,10,0_90000,False,3000,18721575,10,cohort/10/0_90000/17010
cohort,10,0_90000,False,3000,18721575,11,cohort/10/0_90000/17011
cohort,10,0_90000,False,3000,18721575,12,cohort/10/0_90000/17012
cohort,10,0_90000,False,3000,18721575,13,cohort/10/0_90000/17013
cohort,10,0_90000,False,3000,18721575,14,cohort/10/0_90000/17014
cohort,10,0_90000,False,3000,18721575,15,cohort/10/0_90000/17015
cohort,10,0_90000,False,3000,18721575,16,cohort/10/0_90000/17016
cohort,10,0_90000,False,3000,18721575,17,cohort/10/0_90000/17017
cohort,10,0_90000,False,3000,18721575,18,cohort/10/0_90000/17018
cohort,10,0_90000,False,3000,18721575,19,cohort/10/0_90000/17019
cohort,10,0_90000,False,3000,18721575,20,cohort/10/0_90000/17020
cohort,10,0_90000,False,3000,18721575,21,cohort/10/0_90000/17021
cohort,10,0_90000,False,3000,18721575,22,cohort/10/0_90000/17022
cohort,10,0_90000,False,3000,18721575,23,cohort/10/0_90000/17023
cohort,10,0_90000,False,3000,18721575,24,cohort/10/0_90000/17024
cohort,10,0_90000,False,3000,18721575,25,cohort/10/0_90000/17025
cohort,10,0_90000,False,3000,18721575,26,cohort/10/0_90000/17026
cohort,10,0_90000,False,3000,18721575,27,cohort/10/0_90000/17027
cohort,10,0_90000,False,3000,18721575,28,cohort/10/0_90000/17028
cohort,10,0_90000,False,3000,18721575,29,cohort/10/0_90000/17029
cohort,10,0_90000,False,3000,18721575,30,cohort/10/0_90000/17030
cohort,10,0_90000,False,3000,18721575,31,cohort/10/0_90000/17031
cohort,10,0_90000,False,3000,18721575,32,cohort/10/0_90000/17032
cohort,10,0_90000,False,3000,18721575,33,cohort/10/0_90000/17033
cohort,10,0_90000,False,3000,18721575,34,cohort/10/0_90000/17034
cohort,10,0_90000,False,3000,18721575,35,cohort/10/0_90000/17035
cohort,10,0_90000,False,3000,18721575,36,cohort/10/0_90000/17036
cohort,10,0_90000,False,3000,18721575,37,cohort/10/0_90000/17037
cohort,10,0_90000,False,3000,18721575,38,cohort/10/0_90000/17038
cohort,10,0_90000,False,3000,18721575,39,cohort/10/0_90000/17039
cohort,10,0_90000,False,3000,18721575,40,cohort/10/0_90000/17040
cohort,10,0_90000,False,3000,18721575,41,cohort/10/0_90000/17041
cohort,10,0_90000,False,3000,18721575,42,cohort/10/0_90000/17042
cohort,10,0_90000,False,3000,18721575,43,cohort/10/0_90000/17043
cohort,10,0_90000,False,3000,18721575,44,cohort/10/0_90000/17044
cohort,10,0_90000,False,3000,18721575,45,cohort/10/0_90000/17045
cohort,10,0_90000,False,3000,18721575,46,cohort/10/0_90000/17046
cohort,10,0_90000,False,3000,18721575,47,cohort/10/0_90000/17047
cohort,10,0_90000,False,3000,18721575,48,cohort/10/0_90000/17048
cohort,10,0_90000,False,3000,18721575,49,cohort/10/0_90000/17049
cohort,10,0_90000,False,3000,18721575,50,cohort/10/0_90000/17050
cohort,100,0_00000,False,300,18721576,1,cohort/100/0_00000/17001
cohort,100,0_00000,False,300,18721576,2,cohort/100/0_00000/17002
cohort,100,0_00000,False,300,18721576,3,cohort/100/0_00000/17003
cohort,100,0_00000,False,300,18721576,4,cohort/100/0_00000/17004
cohort,100,0_00000,False,300,18721576,5,cohort/100/0_00000/17005
cohort,100,0_00000,False,300,18721576,6,cohort/100/0_00000/17006
cohort,100,0_00000,False,300,18721576,7,cohort/100/0_00000/17007
cohort,100,0_00000,False,300,18721576,8,cohort/100/0_00000/17008
cohort,100,0_00000,False,300,18721576,9,cohort/100/0_00000/17009
cohort,100,0_00000,False,300,18721576,10,cohort/100/0_00000/17010
cohort,100,0_00000,False,300,18721576,11,cohort/100/0_00000/17011
cohort,100,0_00000,False,300,18721576,12,cohort/100/0_00000/17012
cohort,100,0_00000,False,300,18721576,13,cohort/100/0_00000/17013
cohort,100,0_00000,False,300,18721576,14,cohort/100/0_00000/17014
cohort,100,0_00000,False,300,18721576,15,cohort/100/0_00000/17015
cohort,100,0_00000,False,300,18721576,16,cohort/100/0_00000/17016
cohort,100,0_00000,False,300,18721576,17,cohort/100/0_00000/17017
cohort,100,0_00000,False,300,18721576,18,cohort/100/0_00000/17018
cohort,100,0_00000,False,300,18721576,19,cohort/100/0_00000/17019
cohort,100,0_00000,False,300,18721576,20,cohort/100/0_00000/17020
cohort,100,0_00000,False,300,18721576,21,cohort/100/0_00000/17021
cohort,100,0_00000,False,300,18721576,22,cohort/100/0_00000/17022
cohort,100,0_00000,False,300,18721576,23,cohort/100/0_00000/17023
cohort,100,0_00000,False,300,18721576,24,cohort/100/0_00000/17024
cohort,100,0_00000,False,300,18721576,25,cohort/100/0_00000/17025
cohort,100,0_00000,False,300,18721576,26,cohort/100/0_00000/17026
cohort,100,0_00000,False,300,18721576,27,cohort/100/0_00000/17027
cohort,100,0_00000,False,300,18721576,28,cohort/100/0_00000/17028
cohort,100,0_00000,False,300,18721576,29,cohort/100/0_00000/17029
cohort,100,0_00000,False,300,18721576,30,cohort/100/0_00000/17030
cohort,100,0_00000,False,300,18721576,31,cohort/100/0_00000/17031
cohort,100,0_00000,False,300,18721576,32,cohort/100/0_00000/17032
cohort,100,0_00000,False,300,18721576,33,cohort/100/0_00000/17033
cohort,100,0_00000,False,300,18721576,34,cohort/100/0_00000/17034
cohort,100,0_00000,False,300,18721576,35,cohort/100/0_00000/17035
cohort,100,0_00000,False,300,18721576,36,cohort/100/0_00000/17036
cohort,100,0_00000,False,300,18721576,37,cohort/100/0_00000/17037
cohort,100,0_00000,False,300,18721576,38,cohort/100/0_00000/17038
cohort,100,0_00000,False,300,18721576,39,cohort/100/0_00000/17039
cohort,100,0_00000,False,300,18721576,40,cohort/100/0_00000/17040
cohort,100,0_00000,False,300,18721576,41,cohort/100/0_00000/17041
cohort,100,0_00000,False,300,18721576,42,cohort/100/0_00000/17042
cohort,100,0_00000,False,300,18721576,43,cohort/100/0_00000/17043
cohort,100,0_00000,False,300,18721576,44,cohort/100/0_00000/17044
cohort,100,0_00000,False,300,18721576,45,cohort/100/0_00000/17045
cohort,100,0_00000,False,300,18721576,46,cohort/100/0_00000/17046
cohort,100,0_00000,False,300,18721576,47,cohort/100/0_00000/17047
cohort,100,0_00000,False,300,18721576,48,cohort/100/0_00000/17048
cohort,100,0_00000,False,300,18721576,49,cohort/100/0_00000/17049
cohort,100,0_00000,False,300,18721576,50,cohort/100/0_00000/17050
cohort,100,0_50000,False,300,18721577,1,cohort/100/0_50000/17001
cohort,100,0_50000,False,300,18721577,2,cohort/100/0_50000/17002
cohort,100,0_50000,False,300,18721577,3,cohort/100/0_50000/17003
cohort,100,0_50000,False,300,18721577,4,cohort/100/0_50000/17004
cohort,100,0_50000,False,300,18721577,5,cohort/100/0_50000/17005
cohort,100,0_50000,False,300,18721577,6,cohort/100/0_50000/17006
cohort,100,0_50000,False,300,18721577,7,cohort/100/0_50000/17007
cohort,100,0_50000,False,300,18721577,8,cohort/100/0_50000/17008
cohort,100,0_50000,False,300,18721577,9,cohort/100/0_50000/17009
cohort,100,0_50000,False,300,18721577,10,cohort/100/0_50000/17010
cohort,100,0_50000,False,300,18721577,11,cohort/100/0_50000/17011
cohort,100,0_50000,False,300,18721577,12,cohort/100/0_50000/17012
cohort,100,0_50000,False,300,18721577,13,cohort/100/0_50000/17013
cohort,100,0_50000,False,300,18721577,14,cohort/100/0_50000/17014
cohort,100,0_50000,False,300,18721577,15,cohort/100/0_50000/17015
cohort,100,0_50000,False,300,18721577,16,cohort/100/0_50000/17016
cohort,100,0_50000,False,300,18721577,17,cohort/100/0_50000/17017
cohort,100,0_50000,False,300,18721577,18,cohort/100/0_50000/17018
cohort,100,0_50000,False,300,18721577,19,cohort/100/0_50000/17019
cohort,100,0_50000,False,300,18721577,20,cohort/100/0_50000/17020
cohort,100,0_50000,False,300,18721577,21,cohort/100/0_50000/17021
cohort,100,0_50000,False,300,18721577,22,cohort/100/0_50000/17022
cohort,100,0_50000,False,300,18721577,23,cohort/100/0_50000/17023
cohort,100,0_50000,False,300,18721577,24,cohort/100/0_50000/17024
cohort,100,0_50000,False,300,18721577,25,cohort/100/0_50000/17025
cohort,100,0_50000,False,300,18721577,26,cohort/100/0_50000/17026
cohort,100,0_50000,False,300,18721577,27,cohort/100/0_50000/17027
cohort,100,0_50000,False,300,18721577,28,cohort/100/0_50000/17028
cohort,100,0_50000,False,300,18721577,29,cohort/100/0_50000/17029
cohort,100,0_50000,False,300,18721577,30,cohort/100/0_50000/17030
cohort,100,0_50000,False,300,18721577,31,cohort/100/0_50000/17031
cohort,100,0_50000,False,300,18721577,32,cohort/100/0_50000/17032
cohort,100,0_50000,False,300,18721577,33,cohort/100/0_50000/17033
cohort,100,0_50000,False,300,18721577,34,cohort/100/0_50000/17034
cohort,100,0_50000,False,300,18721577,35,cohort/100/0_50000/17035
cohort,100,0_50000,False,300,18721577,36,cohort/100/0_50000/17036
cohort,100,0_50000,False,300,18721577,37,cohort/100/0_50000/17037
cohort,100,0_50000,False,300,18721577,38,cohort/100/0_50000/17038
cohort,100,0_50000,False,300,18721577,39,cohort/100/0_50000/17039
cohort,100,0_50000,False,300,18721577,40,cohort/100/0_50000/17040
cohort,100,0_50000,False,300,18721577,41,cohort/100/0_50000/17041
cohort,100,0_50000,False,300,18721577,42,cohort/100/0_50000/17042
cohort,100,0_50000,False,300,18721577,43,cohort/100/0_50000/17043
cohort,100,0_50000,False,300,18721577,44,cohort/100/0_50000/17044
cohort,100,0_50000,False,300,18721577,45,cohort/100/0_50000/17045
cohort,100,0_50000,False,300,18721577,46,cohort/100/0_50000/17046
cohort,100,0_50000,False,300,18721577,47,cohort/100/0_50000/17047
cohort,100,0_50000,False,300,18721577,48,cohort/100/0_50000/17048
cohort,100,0_50000,False,300,18721577,49,cohort/100/0_50000/17049
cohort,100,0_50000,False,300,18721577,50,cohort/100/0_50000/17050
cohort,100,0_90000,False,300,18721578,1,cohort/100/0_90000/17001
cohort,100,0_90000,False,300,18721578,2,cohort/100/0_90000/17002
cohort,100,0_90000,False,300,18721578,3,cohort/100/0_90000/17003
cohort,100,0_90000,False,300,18721578,4,cohort/100/0_90000/17004
cohort,100,0_90000,False,300,18721578,5,cohort/100/0_90000/17005
cohort,100,0_90000,False,300,18721578,6,cohort/100/0_90000/17006
cohort,100,0_90000,False,300,18721578,7,cohort/100/0_90000/17007
cohort,100,0_90000,False,300,18721578,8,cohort/100/0_90000/17008
cohort,100,0_90000,False,300,18721578,9,cohort/100/0_90000/17009
cohort,100,0_90000,False,300,18721578,10,cohort/100/0_90000/17010
cohort,100,0_90000,False,300,18721578,11,cohort/100/0_90000/17011
cohort,100,0_90000,False,300,18721578,12,cohort/100/0_90000/17012
cohort,100,0_90000,False,300,18721578,13,cohort/100/0_90000/17013
cohort,100,0_90000,False,300,18721578,14,cohort/100/0_90000/17014
cohort,100,0_90000,False,300,18721578,15,cohort/100/0_90000/17015
cohort,100,0_90000,False,300,18721578,16,cohort/100/0_90000/17016
cohort,100,0_90000,False,300,18721578,17,cohort/100/0_90000/17017
cohort,100,0_90000,False,300,18721578,18,cohort/100/0_90000/17018
cohort,100,0_90000,False,300,18721578,19,cohort/100/0_90000/17019
cohort,100,0_90000,False,300,18721578,20,cohort/100/0_90000/17020
cohort,100,0_90000,False,300,18721578,21,cohort/100/0_90000/17021
cohort,100,0_90000,False,300,18721578,22,cohort/100/0_90000/17022
cohort,100,0_90000,False,300,18721578,23,cohort/100/0_90000/17023
cohort,100,0_90000,False,300,18721578,24,cohort/100/0_90000/17024
cohort,100,0_90000,False,300,18721578,25,cohort/100/0_90000/17025
cohort,100,0_90000,False,300,18721578,26,cohort/100/0_90000/17026
cohort,100,0_90000,False,300,18721578,27,cohort/100/0_90000/17027
cohort,100,0_90000,False,300,18721578,28,cohort/100/0_90000/17028
cohort,100,0_90000,False,300,18721578,29,cohort/100/0_90000/17029
cohort,100,0_90000,False,300,18721578,30,cohort/100/0_90000/17030
cohort,100,0_90000,False,300,18721578,31,cohort/100/0_90000/17031
cohort,100,0_90000,False,300,18721578,32,cohort/100/0_90000/17032
cohort,100,0_90000,False,300,18721578,33,cohort/100/0_90000/17033
cohort,100,0_90000,False,300,18721578,34,cohort/100/0_90000/17034
cohort,100,0_90000,False,300,18721578,35,cohort/100/0_90000/17035
cohort,100,0_90000,False,300,18721578,36,cohort/100/0_90000/17036
cohort,100,0_90000,False,300,18721578,37,cohort/100/0_90000/17037
cohort,100,0_90000,False,300,18721578,38,cohort/100/0_90000/17038
cohort,100,0_90000,False,300,18721578,39,cohort/100/0_90000/17039
cohort,100,0_90000,False,300,18721578,40,cohort/100/0_90000/17040
