treatment,num_tests,dilution,solution_found,filename
reduced,10,0_50000,True,reduced/10/0_50000/17027/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17028/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17029/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17030/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17031/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17032/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17033/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17034/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17035/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17036/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17037/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17038/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17039/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17040/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17041/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17042/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17043/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17044/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17045/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17046/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17047/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17048/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17049/solutions.csv
reduced,10,0_50000,False,reduced/10/0_50000/17050/solutions.csv
reduced,10,0_90000,False,reduced/10/0_90000/17001/solutions.csv
reduced,10,0_90000,False,reduced/10/0_90000/17002/solutions.csv
reduced,10,0_90000,False,reduced/10/0_90000/17003/solutions.csv
reduced,10,0_90000,False,reduced/10/0_90000/17004/solutions.csv
reduced,10,0_90000,False,reduced/10/0_90000/17005/solutions.csv
reduced,10,0_90000,False,reduced/10/0_90000/17006/solutions.csv
reduced,10,0_90000,False,reduced/10/0_90000/17007/solutions.csv
reduced,10,0_90000,False,reduced/10/0_90000/17008/solutions.csv
