treatment,num_tests,dilution,finished,solution_found,max_gen,max_score,max_actual_score,replicate_id,seed,directory
cohort,50,0_00000,True,False,600,50,50,3,39103,cohort/50/0_00000/39103/
cohort,50,0_00000,False,True,186,50,50,4,39104,cohort/50/0_00000/39104/
cohort,50,0_00000,True,False,600,50,50,5,39105,cohort/50/0_00000/39105/
cohort,50,0_00000,False,True,426,50,50,6,39106,cohort/50/0_00000/39106/
cohort,50,0_00000,False,True,270,50,50,7,39107,cohort/50/0_00000/39107/
cohort,50,0_00000,False,True,223,50,50,8,39108,cohort/50/0_00000/39108/
cohort,50,0_00000,False,True,106,50,50,9,39109,cohort/50/0_00000/39109/
cohort,50,0_00000,True,False,600,50,50,10,39110,cohort/50/0_00000/39110/
cohort,50,0_00000,False,True,489,50,50,11,39111,cohort/50/0_00000/39111/
cohort,50,0_00000,False,True,165,50,50,12,39112,cohort/50/0_00000/39112/
cohort,50,0_00000,True,False,600,50,50,13,39113,cohort/50/0_00000/39113/
cohort,50,0_00000,False,True,134,50,50,14,39114,cohort/50/0_00000/39114/
cohort,50,0_00000,False,True,388,50,50,15,39115,cohort/50/0_00000/39115/
cohort,50,0_00000,True,False,600,50,50,16,39116,cohort/50/0_00000/39116/
cohort,50,0_00000,False,True,336,50,50,17,39117,cohort/50/0_00000/39117/
cohort,50,0_00000,False,True,160,50,50,18,39118,cohort/50/0_00000/39118/
cohort,50,0_00000,False,True,293,50,50,19,39119,cohort/50/0_00000/39119/
cohort,50,0_00000,False,True,143,48,48,20,39120,cohort/50/0_00000/39120/
cohort,50,0_00000,False,True,176,50,50,21,39121,cohort/50/0_00000/39121/
cohort,50,0_00000,False,True,156,50,50,22,39122,cohort/50/0_00000/39122/
cohort,50,0_00000,False,True,222,50,50,23,39123,cohort/50/0_00000/39123/
cohort,50,0_00000,False,True,162,47,47,24,39124,cohort/50/0_00000/39124/
cohort,50,0_00000,False,True,124,50,50,25,39125,cohort/50/0_00000/39125/
cohort,50,0_00000,False,True,583,50,50,26,39126,cohort/50/0_00000/39126/
cohort,50,0_00000,False,True,101,50,50,27,39127,cohort/50/0_00000/39127/
cohort,50,0_00000,False,True,103,50,50,28,39128,cohort/50/0_00000/39128/
cohort,50,0_00000,True,False,600,50,50,29,39129,cohort/50/0_00000/39129/
cohort,50,0_00000,False,True,71,50,50,30,39130,cohort/50/0_00000/39130/
cohort,50,0_00000,False,True,312,50,50,31,39131,cohort/50/0_00000/39131/
cohort,50,0_00000,True,False,600,50,50,32,39132,cohort/50/0_00000/39132/
cohort,50,0_00000,False,True,316,50,50,33,39133,cohort/50/0_00000/39133/
cohort,50,0_00000,False,True,141,50,50,34,39134,cohort/50/0_00000/39134/
cohort,50,0_00000,True,False,600,50,50,35,39135,cohort/50/0_00000/39135/
cohort,50,0_00000,False,True,31,40,40,36,39136,cohort/50/0_00000/39136/
cohort,50,0_00000,True,False,600,50,50,37,39137,cohort/50/0_00000/39137/
cohort,50,0_00000,True,False,600,50,50,38,39138,cohort/50/0_00000/39138/
cohort,50,0_00000,True,False,600,50,50,39,39139,cohort/50/0_00000/39139/
cohort,50,0_00000,False,True,168,50,50,40,39140,cohort/50/0_00000/39140/
cohort,50,0_00000,False,True,224,50,50,41,39141,cohort/50/0_00000/39141/
cohort,50,0_00000,True,False,600,50,50,42,39142,cohort/50/0_00000/39142/
cohort,50,0_00000,False,True,98,50,50,43,39143,cohort/50/0_00000/39143/
cohort,50,0_00000,False,True,249,50,50,44,39144,cohort/50/0_00000/39144/
cohort,50,0_00000,False,True,317,50,50,45,39145,cohort/50/0_00000/39145/
cohort,50,0_00000,False,True,219,50,50,46,39146,cohort/50/0_00000/39146/
cohort,50,0_00000,True,False,600,50,50,47,39147,cohort/50/0_00000/39147/
cohort,50,0_00000,False,True,194,50,50,48,39148,cohort/50/0_00000/39148/
cohort,50,0_00000,False,True,290,50,50,49,39149,cohort/50/0_00000/39149/
cohort,50,0_00000,False,True,201,50,50,50,39150,cohort/50/0_00000/39150/
cohort,25,0_00000,False,True,653,25,25,1,40101,cohort/25/0_00000/40101/
cohort,25,0_00000,False,True,77,25,25,2,40102,cohort/25/0_00000/40102/
cohort,25,0_00000,False,True,83,23,23,3,40103,cohort/25/0_00000/40103/
cohort,25,0_00000,False,True,738,25,25,4,40104,cohort/25/0_00000/40104/
cohort,25,0_00000,False,True,495,25,25,5,40105,cohort/25/0_00000/40105/
cohort,25,0_00000,False,True,251,25,25,6,40106,cohort/25/0_00000/40106/
cohort,25,0_00000,False,True,583,25,25,7,40107,cohort/25/0_00000/40107/
cohort,25,0_00000,False,True,211,25,25,8,40108,cohort/25/0_00000/40108/
cohort,25,0_00000,False,True,129,25,25,9,40109,cohort/25/0_00000/40109/
cohort,25,0_00000,False,True,959,25,25,10,40110,cohort/25/0_00000/40110/
