problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,replicate_id,seed,directory
smallest,cohort,100,0_50000,True,False,-1,300,100,100,True,18,138218,smallest/cohort/100/0_50000/138218/
smallest,cohort,100,0_50000,True,False,-1,300,100,98,False,19,138219,smallest/cohort/100/0_50000/138219/
smallest,cohort,100,0_50000,True,False,-1,300,96,93,False,20,138220,smallest/cohort/100/0_50000/138220/
smallest,cohort,100,0_50000,False,True,166,165,100,100,True,21,138221,smallest/cohort/100/0_50000/138221/
smallest,cohort,100,0_50000,False,True,148,147,100,100,True,22,138222,smallest/cohort/100/0_50000/138222/
smallest,cohort,100,0_50000,False,True,115,114,100,100,True,23,138223,smallest/cohort/100/0_50000/138223/
smallest,cohort,100,0_50000,True,False,-1,300,100,96,False,24,138224,smallest/cohort/100/0_50000/138224/
smallest,cohort,100,0_50000,False,True,45,44,100,100,True,25,138225,smallest/cohort/100/0_50000/138225/
smallest,cohort,100,0_50000,False,True,141,140,100,100,True,26,138226,smallest/cohort/100/0_50000/138226/
smallest,cohort,100,0_50000,False,True,195,194,100,100,True,27,138227,smallest/cohort/100/0_50000/138227/
smallest,cohort,100,0_50000,False,True,138,137,100,95,True,28,138228,smallest/cohort/100/0_50000/138228/
smallest,cohort,100,0_50000,False,True,165,164,100,100,True,29,138229,smallest/cohort/100/0_50000/138229/
smallest,cohort,100,0_50000,True,False,-1,300,100,99,False,30,138230,smallest/cohort/100/0_50000/138230/
smallest,cohort,100,0_50000,True,False,-1,300,100,100,True,31,138231,smallest/cohort/100/0_50000/138231/
smallest,cohort,100,0_50000,False,True,292,291,100,97,True,32,138232,smallest/cohort/100/0_50000/138232/
smallest,cohort,100,0_50000,True,False,-1,300,100,98,False,33,138233,smallest/cohort/100/0_50000/138233/
smallest,cohort,100,0_50000,True,False,-1,300,100,100,False,34,138234,smallest/cohort/100/0_50000/138234/
smallest,cohort,100,0_50000,True,False,-1,300,96,93,False,35,138235,smallest/cohort/100/0_50000/138235/
smallest,cohort,100,0_50000,False,True,70,69,100,100,True,36,138236,smallest/cohort/100/0_50000/138236/
smallest,cohort,100,0_50000,True,False,-1,300,100,100,True,37,138237,smallest/cohort/100/0_50000/138237/
smallest,cohort,100,0_50000,False,True,200,199,100,100,True,38,138238,smallest/cohort/100/0_50000/138238/
