problem,treatment,num_tests,dilution,finished,solution_found,first_gen_found,max_gen,max_score,max_actual_score,solved_all_training,overfit_prog_id,replicate_id,seed,directory,evals,worst_case_evals
smallest,full,100,0_00000,False,True,227,226,100,100,True,-1,26,291126,smallest/full/100/0_00000/291126/,22800000,22800000
smallest,full,100,0_00000,False,True,56,55,85,85,True,-1,27,291127,smallest/full/100/0_00000/291127/,5700000,5700000
smallest,full,100,0_00000,False,True,40,39,87,87,True,-1,28,291128,smallest/full/100/0_00000/291128/,4100000,4100000
smallest,full,100,0_00000,False,True,122,121,99,99,True,-1,29,291129,smallest/full/100/0_00000/291129/,12299967,12300000
smallest,full,100,0_00000,False,True,155,154,100,100,True,-1,30,291130,smallest/full/100/0_00000/291130/,15600000,15600000
smallest,full,100,0_00000,False,True,103,102,100,100,True,-1,31,291131,smallest/full/100/0_00000/291131/,10399964,10400000
smallest,full,100,0_00000,False,True,469,468,100,100,True,-1,32,291132,smallest/full/100/0_00000/291132/,46999948,47000000
smallest,full,100,0_00000,False,True,481,480,100,100,True,-1,33,291133,smallest/full/100/0_00000/291133/,48199899,48200000
smallest,full,100,0_00000,False,True,9055,9054,100,100,True,-1,34,291134,smallest/full/100/0_00000/291134/,905597090,905600000
smallest,full,100,0_00000,False,True,602,601,100,100,True,-1,35,291135,smallest/full/100/0_00000/291135/,60299992,60300000
smallest,full,100,0_00000,False,True,1020,1019,100,100,True,-1,36,291136,smallest/full/100/0_00000/291136/,102099888,102100000
smallest,full,100,0_00000,False,True,238,237,100,100,True,-1,37,291137,smallest/full/100/0_00000/291137/,23899948,23900000
smallest,full,100,0_00000,False,True,742,741,100,100,True,-1,38,291138,smallest/full/100/0_00000/291138/,74299606,74300000
smallest,full,100,0_00000,False,True,355,354,100,100,True,-1,39,291139,smallest/full/100/0_00000/291139/,35599962,35600000
smallest,full,100,0_00000,False,True,482,481,100,100,True,-1,40,291140,smallest/full/100/0_00000/291140/,48299973,48300000
smallest,full,100,0_00000,False,True,295,294,100,100,True,-1,41,291141,smallest/full/100/0_00000/291141/,29600000,29600000
smallest,full,100,0_00000,False,True,422,421,100,100,True,-1,42,291142,smallest/full/100/0_00000/291142/,42299920,42300000
smallest,full,100,0_00000,False,True,1377,1376,100,100,True,-1,43,291143,smallest/full/100/0_00000/291143/,137799796,137800000
smallest,full,100,0_00000,False,True,928,927,100,100,True,-1,44,291144,smallest/full/100/0_00000/291144/,92899915,92900000
smallest,full,100,0_00000,False,True,141,140,100,100,True,-1,45,291145,smallest/full/100/0_00000/291145/,14200000,14200000
smallest,full,100,0_00000,False,False,-1,3700,100,100,True,0,46,291146,smallest/full/100/0_00000/291146/,-1,-1
smallest,full,100,0_00000,False,True,160,159,100,100,True,-1,47,291147,smallest/full/100/0_00000/291147/,16099947,16100000
smallest,full,100,0_00000,False,False,-1,14808,100,100,True,0,48,291148,smallest/full/100/0_00000/291148/,-1,-1
smallest,full,100,0_00000,False,True,125,124,100,100,True,-1,49,291149,smallest/full/100/0_00000/291149/,12600000,12600000
median,full,100,0_00000,False,True,132,131,92,92,True,-1,0,491100,median/full/100/0_00000/491100/,13300000,13300000
median,full,100,0_00000,False,True,221,220,100,100,True,-1,1,491101,median/full/100/0_00000/491101/,22199967,22200000
median,full,100,0_00000,False,True,102,101,100,100,True,-1,2,491102,median/full/100/0_00000/491102/,10300000,10300000
median,full,100,0_00000,False,True,155,154,97,97,True,-1,3,491103,median/full/100/0_00000/491103/,15600000,15600000
median,full,100,0_00000,False,True,106,105,95,95,True,-1,4,491104,median/full/100/0_00000/491104/,10700000,10700000
median,full,100,0_00000,False,True,286,285,100,100,True,-1,5,491105,median/full/100/0_00000/491105/,28700000,28700000
median,full,100,0_00000,False,True,183,182,100,100,True,-1,6,491106,median/full/100/0_00000/491106/,18400000,18400000
median,full,100,0_00000,False,True,570,569,100,100,True,-1,7,491107,median/full/100/0_00000/491107/,57099904,57100000
median,full,100,0_00000,False,True,362,361,100,100,True,-1,8,491108,median/full/100/0_00000/491108/,36299775,36300000
median,full,100,0_00000,False,True,229,228,100,100,True,-1,9,491109,median/full/100/0_00000/491109/,22999969,23000000
median,full,100,0_00000,False,True,390,389,100,100,True,-1,10,491110,median/full/100/0_00000/491110/,39099928,39100000
median,full,100,0_00000,False,True,1703,1702,100,100,True,-1,11,491111,median/full/100/0_00000/491111/,170399831,170400000
median,full,100,0_00000,False,True,61,60,100,100,True,-1,12,491112,median/full/100/0_00000/491112/,6200000,6200000
median,full,100,0_00000,False,True,513,512,100,100,True,-1,13,491113,median/full/100/0_00000/491113/,51399977,51400000
median,full,100,0_00000,False,True,352,351,100,100,True,-1,14,491114,median/full/100/0_00000/491114/,35300000,35300000
median,full,100,0_00000,False,True,159,158,100,100,True,-1,15,491115,median/full/100/0_00000/491115/,15999967,16000000
median,full,100,0_00000,False,True,20,19,100,100,True,-1,16,491116,median/full/100/0_00000/491116/,2100000,2100000
median,full,100,0_00000,False,True,384,383,95,95,True,-1,17,491117,median/full/100/0_00000/491117/,38499925,38500000
median,full,100,0_00000,False,True,183,182,100,100,True,-1,18,491118,median/full/100/0_00000/491118/,18400000,18400000
median,full,100,0_00000,False,True,1237,1236,100,100,True,-1,19,491119,median/full/100/0_00000/491119/,123799863,123800000
median,full,100,0_00000,False,True,113,112,98,98,True,-1,20,491120,median/full/100/0_00000/491120/,11400000,11400000
median,full,100,0_00000,False,True,163,162,100,100,True,-1,21,491121,median/full/100/0_00000/491121/,16399951,16400000
median,full,100,0_00000,False,True,272,271,100,100,True,-1,22,491122,median/full/100/0_00000/491122/,27299945,27300000
median,full,100,0_00000,False,True,14075,14074,100,100,True,-1,23,491123,median/full/100/0_00000/491123/,1407598345,1407600000
median,full,100,0_00000,False,True,492,491,92,92,True,-1,24,491124,median/full/100/0_00000/491124/,49299940,49300000
median,full,100,0_00000,False,True,240,239,100,100,True,-1,25,491125,median/full/100/0_00000/491125/,24100000,24100000
median,full,100,0_00000,False,True,107,106,100,100,True,-1,26,491126,median/full/100/0_00000/491126/,10800000,10800000
median,full,100,0_00000,False,True,58,57,87,87,True,-1,27,491127,median/full/100/0_00000/491127/,5900000,5900000
median,full,100,0_00000,False,True,124,123,93,93,True,-1,28,491128,median/full/100/0_00000/491128/,12500000,12500000
median,full,100,0_00000,False,True,96,95,100,100,True,-1,29,491129,median/full/100/0_00000/491129/,9700000,9700000
median,full,100,0_00000,False,True,116,115,100,100,True,-1,30,491130,median/full/100/0_00000/491130/,11700000,11700000
median,full,100,0_00000,False,True,172,171,100,100,True,-1,31,491131,median/full/100/0_00000/491131/,17299965,17300000
median,full,100,0_00000,False,True,479,478,100,100,True,-1,32,491132,median/full/100/0_00000/491132/,47999903,48000000
median,full,100,0_00000,False,False,-1,20120,100,100,True,0,33,491133,median/full/100/0_00000/491133/,-1,-1
median,full,100,0_00000,False,True,241,240,100,100,True,-1,34,491134,median/full/100/0_00000/491134/,24200000,24200000
median,full,100,0_00000,False,True,69,68,100,100,True,-1,35,491135,median/full/100/0_00000/491135/,7000000,7000000
median,full,100,0_00000,False,True,69,68,100,100,True,-1,36,491136,median/full/100/0_00000/491136/,6999936,7000000
median,full,100,0_00000,False,True,126,125,93,93,True,-1,37,491137,median/full/100/0_00000/491137/,12700000,12700000
median,full,100,0_00000,False,True,328,327,100,100,True,-1,38,491138,median/full/100/0_00000/491138/,32900000,32900000
median,full,100,0_00000,False,True,116,115,100,100,True,-1,39,491139,median/full/100/0_00000/491139/,11699975,11700000
median,full,100,0_00000,False,True,10565,10564,100,100,True,-1,40,491140,median/full/100/0_00000/491140/,1056596993,1056600000
median,full,100,0_00000,False,True,114,113,100,100,True,-1,41,491141,median/full/100/0_00000/491141/,11500000,11500000
median,full,100,0_00000,False,True,317,316,100,100,True,-1,42,491142,median/full/100/0_00000/491142/,31799973,31800000
median,full,100,0_00000,False,True,131,130,100,100,True,-1,43,491143,median/full/100/0_00000/491143/,13200000,13200000
median,full,100,0_00000,False,True,160,159,90,90,True,-1,44,491144,median/full/100/0_00000/491144/,16099950,16100000
median,full,100,0_00000,False,True,129,128,97,97,True,-1,45,491145,median/full/100/0_00000/491145/,13000000,13000000
median,full,100,0_00000,False,True,100,99,100,100,True,-1,46,491146,median/full/100/0_00000/491146/,10099902,10100000
median,full,100,0_00000,False,True,339,338,100,100,True,-1,47,491147,median/full/100/0_00000/491147/,33999974,34000000
median,full,100,0_00000,False,True,59,58,100,100,True,-1,48,491148,median/full/100/0_00000/491148/,6000000,6000000
median,full,100,0_00000,False,True,280,279,100,100,True,-1,49,491149,median/full/100/0_00000/491149/,28099978,28100000
grade,full,100,0_00000,False,True,532,531,193,193,True,-1,0,691100,grade/full/200/0_00000/691100/,106543935,106600000
grade,full,100,0_00000,False,True,517,516,198,198,True,-1,1,691101,grade/full/200/0_00000/691101/,103543483,103600000
grade,full,100,0_00000,False,True,440,439,182,182,True,-1,2,691102,grade/full/200/0_00000/691102/,88148391,88200000
grade,full,100,0_00000,False,True,518,517,197,197,True,-1,3,691103,grade/full/200/0_00000/691103/,103744926,103800000
grade,full,100,0_00000,False,True,497,496,198,198,True,-1,4,691104,grade/full/200/0_00000/691104/,99560383,99600000
grade,full,100,0_00000,False,True,570,569,171,171,True,-1,5,691105,grade/full/200/0_00000/691105/,114142288,114200000
grade,full,100,0_00000,False,True,631,630,192,192,True,-1,6,691106,grade/full/200/0_00000/691106/,126316818,126400000
grade,full,100,0_00000,False,True,516,515,200,200,True,-1,7,691107,grade/full/200/0_00000/691107/,103356233,103400000
grade,full,100,0_00000,False,True,793,792,194,194,True,-1,8,691108,grade/full/200/0_00000/691108/,158748890,158800000
grade,full,100,0_00000,False,True,183,182,174,174,True,-1,9,691109,grade/full/200/0_00000/691109/,36780655,36800000
grade,full,100,0_00000,False,True,462,461,170,170,True,-1,10,691110,grade/full/200/0_00000/691110/,92545286,92600000
grade,full,100,0_00000,False,True,364,363,170,170,True,-1,11,691111,grade/full/200/0_00000/691111/,72967769,73000000
grade,full,100,0_00000,False,True,264,263,200,200,True,-1,12,691112,grade/full/200/0_00000/691112/,52972956,53000000
grade,full,100,0_00000,False,True,342,341,199,199,True,-1,13,691113,grade/full/200/0_00000/691113/,68569824,68600000
grade,full,100,0_00000,False,True,402,401,192,192,True,-1,14,691114,grade/full/200/0_00000/691114/,80564595,80600000
grade,full,100,0_00000,False,True,634,633,200,200,True,-1,15,691115,grade/full/200/0_00000/691115/,126955922,127000000
grade,full,100,0_00000,False,True,343,342,200,200,True,-1,16,691116,grade/full/200/0_00000/691116/,68763627,68800000
grade,full,100,0_00000,False,True,4867,4866,200,200,True,-1,17,691117,grade/full/200/0_00000/691117/,972945182,973600000
grade,full,100,0_00000,False,True,480,479,175,175,True,-1,18,691118,grade/full/200/0_00000/691118/,96151640,96200000
grade,full,100,0_00000,False,True,288,287,200,200,True,-1,19,691119,grade/full/200/0_00000/691119/,57767309,57800000
grade,full,100,0_00000,False,True,337,336,200,200,True,-1,20,691120,grade/full/200/0_00000/691120/,67571180,67600000
grade,full,100,0_00000,False,True,301,300,192,192,True,-1,21,691121,grade/full/200/0_00000/691121/,60369987,60400000
grade,full,100,0_00000,False,False,-1,8114,200,200,True,0,22,691122,grade/full/200/0_00000/691122/,-1,-1
grade,full,100,0_00000,False,True,484,483,186,186,True,-1,23,691123,grade/full/200/0_00000/691123/,96946190,97000000
grade,full,100,0_00000,False,True,161,160,198,198,True,-1,24,691124,grade/full/200/0_00000/691124/,32383506,32400000
grade,full,100,0_00000,False,True,558,557,200,200,True,-1,25,691125,grade/full/200/0_00000/691125/,111751840,111800000
